回答者番号,選択した画像ファイル,コメント,職業,年齢,性別
1,hair_design_001.jpg,ツヤ感のある髪質表現が美しいと感じました,パート,31,女性
2,hair_design_002.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,パート,41,女性
3,hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,学生,25,女性
4,hair_design_004.jpg,前髪が長めで顔周りがすっきりして見える,アルバイト,21,女性
5,hair_design_005.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,アルバイト,43,女性
6,hair_design_006.jpg,短めのボブスタイルで活動的な印象を受けました,パート,40,女性
7,hair_design_007.jpg,自然な動きのあるスタイルが素敵だと思います,会社員,31,女性
8,hair_design_008.jpg,前髪ありのスタイルが若々しくて可愛い,アルバイト,41,女性
9,hair_design_009.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,パート,26,女性
10,hair_design_010.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,主婦,39,女性
11,hair_design_001.jpg,顔周りのレイヤーが小顔効果がありそうで良いと思いました,パート,41,女性
12,hair_design_002.jpg,自然な動きのあるスタイルが素敵だと思います,主婦,34,女性
13,hair_design_003.jpg,短めのボブスタイルで活動的な印象を受けました,主婦,42,女性
14,hair_design_004.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,学生,21,女性
15,hair_design_005.jpg,ストレートでシンプルだけど洗練された印象,アルバイト,41,女性
16,hair_design_006.jpg,前髪のデザインが個性的で可愛いと思いました,主婦,40,女性
17,hair_design_007.jpg,直毛で清潔感のあるスタイルが好印象,会社員,23,女性
18,hair_design_008.jpg,直毛で清潔感のあるスタイルが好印象,会社員,33,女性
19,hair_design_009.jpg,シンプルながらも上品さを感じるデザイン,自営業,41,女性
20,hair_design_010.jpg,ストレートでシンプルだけど洗練された印象,主婦,36,女性
21,hair_design_001.jpg,ボブスタイルの中でも特に洗練された雰囲気,主婦,23,女性
22,hair_design_002.jpg,前髪ありのスタイルが若々しくて可愛い,パート,22,女性
23,hair_design_003.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,パート,22,女性
24,hair_design_004.jpg,短めのボブスタイルで活動的な印象を受けました,自営業,22,女性
25,hair_design_005.jpg,ツヤ感のある髪質表現が美しいと感じました,自営業,34,女性
26,hair_design_006.jpg,前髪が長めで顔周りがすっきりして見える,学生,34,女性
27,hair_design_007.jpg,モデルさんの雰囲気に合うような髪型だったので選んだ,アルバイト,29,女性
28,hair_design_008.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,学生,38,女性
29,hair_design_009.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,主婦,34,女性
30,hair_design_010.jpg,シンプルながらも上品さを感じるデザイン,パート,34,女性
31,hair_design_001.jpg,髪の毛が全体的にまとまっていることによって小綺麗な印象があったと思います,学生,27,女性
32,hair_design_002.jpg,艶やかで健康的な髪質に見えるのが魅力的,自営業,33,女性
33,hair_design_003.jpg,セミロングの長さとカールのバランスが絶妙,パート,38,女性
34,hair_design_004.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,パート,35,女性
35,hair_design_005.jpg,シンプルながらも上品さを感じるデザイン,パート,43,女性
36,hair_design_006.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,42,女性
37,hair_design_007.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,自営業,34,女性
38,hair_design_008.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,主婦,25,女性
39,hair_design_009.jpg,直毛で清潔感のあるスタイルが好印象,自営業,37,女性
40,hair_design_010.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,会社員,41,女性
41,hair_design_001.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,自営業,25,女性
42,hair_design_002.jpg,エレガントで上品な雰囲気が魅力的です,アルバイト,34,女性
43,hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,パート,30,女性
44,hair_design_004.jpg,前髪ありのスタイルが若々しくて可愛い,主婦,44,女性
45,hair_design_005.jpg,ストレートでシンプルだけど洗練された印象,パート,26,女性
46,hair_design_006.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,自営業,43,女性
47,hair_design_007.jpg,前髪が長めで顔周りがすっきりして見える,学生,24,女性
48,hair_design_008.jpg,前髪ありのスタイルが若々しくて可愛い,自営業,37,女性
49,hair_design_009.jpg,ミディアムレングスで扱いやすそうなのが良い,アルバイト,24,女性
50,hair_design_010.jpg,ショートボブのシルエットが綺麗で素敵,自営業,36,女性
51,hair_design_001.jpg,前髪ありのスタイルが若々しくて可愛い,主婦,40,女性
52,hair_design_002.jpg,ふんわりとしたカールが女性らしくて好きです,会社員,32,女性
53,hair_design_003.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,38,女性
54,hair_design_004.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,会社員,40,女性
55,hair_design_005.jpg,セミロングの長さとカールのバランスが絶妙,会社員,30,女性
56,hair_design_006.jpg,エレガントで上品な雰囲気が魅力的です,主婦,38,女性
57,hair_design_007.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,パート,41,女性
58,hair_design_008.jpg,前髪ありのスタイルが若々しくて可愛い,学生,23,女性
59,hair_design_009.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,自営業,35,女性
60,hair_design_010.jpg,前髪が長めで顔周りがすっきりして見える,自営業,39,女性
61,hair_design_001.jpg,艶やかで健康的な髪質に見えるのが魅力的,会社員,22,女性
62,hair_design_002.jpg,短めのボブスタイルで活動的な印象を受けました,会社員,31,女性
63,hair_design_003.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,アルバイト,32,女性
64,hair_design_004.jpg,直毛で清潔感のあるスタイルが好印象,学生,31,女性
65,hair_design_005.jpg,自分には似合わないヘアスタイルだが、画像のモデルさんの顔立ちや雰囲気には合っていると思った,会社員,43,女性
66,hair_design_006.jpg,シンプルながらも上品さを感じるデザイン,会社員,26,女性
67,hair_design_007.jpg,ゆるふわな質感が優しい印象を与えてくれる,アルバイト,24,女性
68,hair_design_008.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,学生,36,女性
69,hair_design_009.jpg,ショートボブのシルエットが綺麗で素敵,アルバイト,25,女性
70,hair_design_010.jpg,短めのボブスタイルで活動的な印象を受けました,会社員,28,女性
71,hair_design_001.jpg,自然な動きのあるスタイルが素敵だと思います,学生,24,女性
72,hair_design_002.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,アルバイト,28,女性
73,hair_design_003.jpg,直毛で清潔感のあるスタイルが好印象,自営業,24,女性
74,hair_design_004.jpg,シンプルながらも上品さを感じるデザイン,自営業,31,女性
75,hair_design_005.jpg,明るい髪色が顔色を明るく見せてくれそう,自営業,42,女性
76,hair_design_006.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,会社員,28,女性
77,hair_design_007.jpg,シンプルながらも上品さを感じるデザイン,会社員,40,女性
78,hair_design_008.jpg,シンプルながらも上品さを感じるデザイン,アルバイト,24,女性
79,hair_design_009.jpg,前髪のデザインが個性的で可愛いと思いました,主婦,43,女性
80,hair_design_010.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,会社員,34,女性
81,hair_design_001.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,自営業,26,女性
82,hair_design_002.jpg,顔周りのレイヤーが小顔効果がありそうで良いと思いました,学生,29,女性
83,hair_design_003.jpg,清潔感があり、女性らしさも感じられるヘアスタイルだと思います,会社員,28,女性
84,hair_design_004.jpg,自然な動きのあるスタイルが素敵だと思います,主婦,38,女性
85,hair_design_005.jpg,ふんわりとしたカールが女性らしくて好きです,自営業,38,女性
86,hair_design_006.jpg,自分には似合わないヘアスタイルだが、画像のモデルさんの顔立ちや雰囲気には合っていると思った,パート,21,女性
87,hair_design_007.jpg,自分には似合わないヘアスタイルだが、画像のモデルさんの顔立ちや雰囲気には合っていると思った,会社員,37,女性
88,hair_design_008.jpg,短めのボブスタイルで活動的な印象を受けました,学生,32,女性
89,hair_design_009.jpg,シンプルながらも上品さを感じるデザイン,主婦,28,女性
90,hair_design_010.jpg,自分に似合うとも思えるし、継続できるとも思えないけど、いかにも女性らしいやわらかい髪型に見えた,学生,29,女性
91,hair_design_001.jpg,ふんわりとしたカールが女性らしくて好きです,パート,24,女性
92,hair_design_002.jpg,直毛で清潔感のあるスタイルが好印象,主婦,21,女性
93,hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,自営業,25,女性
94,hair_design_004.jpg,シンプルながらも上品さを感じるデザイン,主婦,39,女性
95,hair_design_005.jpg,明るいカラーと軽やかなスタイルが春夏にぴったり,パート,33,女性
96,hair_design_006.jpg,ストレートでシンプルだけど洗練された印象,主婦,37,女性
97,hair_design_007.jpg,シンプルながらも上品さを感じるデザイン,自営業,33,女性
98,hair_design_008.jpg,セミロングの長さとカールのバランスが絶妙,自営業,26,女性
99,hair_design_009.jpg,ツヤ感のある髪質表現が美しいと感じました,自営業,32,女性
100,hair_design_010.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,会社員,40,女性
